"","Month","Concession","Type","ATC1","ATC1_desc","ATC2","ATC2_desc","Scripts","Cost"
"34",1994 Apr,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",18774,82693.97
"35",1994 May,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",19374,85553.67
"36",1994 Jun,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",18204,80674.37
"37",1994 Jul,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",16575,72850.78
"38",1994 Aug,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",17900,81345.17
"39",1994 Sept,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",15891,72181.69
"40",1994 Oct,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",14673,66558.77
"41",1994 Nov,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",13945,63614.43
"42",1994 Dec,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",13383,60790.03
"43",1995 Jan,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",12974,59327.49
"44",1995 Feb,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",18129,83770.48
"45",1995 Mar,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",21662,100895.63
"46",1995 Apr,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",20315,94819.4
"47",1995 May,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",19140,89651.67
"48",1995 Jun,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",18166,85445.54
"49",1995 Jul,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",16846,80717.02
"50",1995 Aug,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",17439,86404.17
"51",1995 Sept,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",15528,77041.78
"52",1995 Oct,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",15858,78171.49
"53",1995 Nov,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",13954,69380.33
"54",1995 Dec,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",13779,68092.49
"55",1996 Jan,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",13850,68526.81
"56",1996 Feb,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",19471,94464.45
"57",1996 Mar,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",20717,100329.78
"58",1996 Apr,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",20061,97290.77
"59",1996 May,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",17191,83140.98
"60",1996 Jun,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",14290,69139.44
"61",1996 Jul,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",17031,82571.24
"62",1996 Aug,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",15870,77735.28
"63",1996 Sept,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",15475,75383.77
"64",1996 Oct,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",14972,73820.29
"65",1996 Nov,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",13171,64545.35
"66",1996 Dec,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",14379,70315.66
"67",1997 Jan,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",12600,60384.52
"68",1997 Feb,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",17569,77962.78
"69",1997 Mar,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",19266,92995.68
"70",1997 Apr,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",19173,93599.7
"71",1997 May,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",17206,84554.48
"72",1997 Jun,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",15604,76644.43
"73",1997 Jul,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",15206,75345.21
"74",1997 Aug,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",14192,71052.3
"75",1997 Sept,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",14144,70572.42
"76",1997 Oct,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",13150,66209.9
"77",1997 Nov,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",11415,56840.37
"78",1997 Dec,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",13138,65518.37
"79",1998 Jan,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",9747,48531.82
"80",1998 Feb,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",16315,80761.87
"81",1998 Mar,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",18241,92032.78
"82",1998 Apr,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",17437,88436.64
"83",1998 May,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",16089,81750.24
"84",1998 Jun,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",15391,78198.61
"85",1998 Jul,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",14979,76491.6
"86",1998 Aug,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",13386,68545.66
"87",1998 Sept,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",14402,73998.71
"88",1998 Oct,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",12920,65548.22
"89",1998 Nov,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",11122,56769.92
"90",1998 Dec,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",11907,61209.67
"91",1999 Jan,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",9589,49142.36
"92",1999 Feb,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",15319,78079.24
"93",1999 Mar,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",20424,104183.12
"94",1999 Apr,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",16892,86061.24
"95",1999 May,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",16215,83557.13
"96",1999 Jun,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",15665,80062.83
"97",1999 Jul,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",14866,76833.2
"98",1999 Aug,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",14228,73389.93
"99",1999 Sept,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",13757,71077.11
"100",1999 Oct,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",12581,64963.2
"101",1999 Nov,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",11818,61125.84
"102",1999 Dec,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",11701,60736.21
"103",2000 Jan,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",9780,50635.15
"104",2000 Feb,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",16485,82919.53
"105",2000 Mar,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",18788,94843.38
"106",2000 Apr,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",17600,88860.3
"107",2000 May,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",16966,86242.45
"108",2000 Jun,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",15716,79104.13
"109",2000 Jul,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",15301,78277.65
"110",2000 Aug,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",13819,70237.56
"111",2000 Sept,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",12222,62208.97
"112",2000 Oct,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",13014,65979.42
"113",2000 Nov,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",11246,56790.36
"114",2000 Dec,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",10868,55220.1
"115",2001 Jan,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",11932,59948.05
"116",2001 Feb,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",15704,75803.07
"117",2001 Mar,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",20753,102025.75
"118",2001 Apr,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",17936,88412.79
"119",2001 May,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",17060,85282.65
"120",2001 Jun,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",14444,71031.95
"121",2001 Jul,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",14345,72091.88
"122",2001 Aug,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",13764,69144.6
"123",2001 Sept,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",11770,60572.71
"124",2001 Oct,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",12345,63533.04
"125",2001 Nov,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",12136,64020.41
"126",2001 Dec,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",9789,51625.03
"127",2002 Jan,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",12160,64039.28
"128",2002 Feb,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",16511,85131.35
"129",2002 Mar,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",17688,90615.63
"130",2002 Apr,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",17540,90605.49
"131",2002 May,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",17776,91916.34
"132",2002 Jun,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",14345,74852.19
"133",2002 Jul,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",14869,77408.06
"134",2002 Aug,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",12623,66224.64
"135",2002 Sept,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",12292,64251.67
"136",2002 Oct,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",11385,59351.09
"137",2002 Nov,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",9606,50083.31
"138",2002 Dec,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",9418,49385.31
"139",2003 Jan,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",10705,54618.25
"140",2003 Feb,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",15795,79369.63
"141",2003 Mar,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",17463,88197.64
"142",2003 Apr,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",16470,83091
"143",2003 May,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",16532,83676.56
"144",2003 Jun,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",14385,73318.37
"145",2003 Jul,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",13579,70086.48
"146",2003 Aug,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",11798,61024.77
"147",2003 Sept,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",11744,60490.97
"148",2003 Oct,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",11221,57287.72
"149",2003 Nov,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",9328,48529.61
"150",2003 Dec,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",9354,47729.12
"151",2004 Jan,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",8760,43888.03
"152",2004 Feb,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",13852,66349.4
"153",2004 Mar,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",13845,65455.85
"154",2004 Apr,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",13300,64027.89
"155",2004 May,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",14254,69245.81
"156",2004 Jun,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",13918,69142.72
"157",2004 Jul,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",13091,65359.65
"158",2004 Aug,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",11114,55864.52
"159",2004 Sept,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",11102,55532
"160",2004 Oct,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",10109,50616
"161",2004 Nov,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",9859,49224
"162",2004 Dec,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",9201,46174
"163",2005 Jan,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",9379,44346
"164",2005 Feb,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",15642,65981
"165",2005 Mar,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",16716,71028
"166",2005 Apr,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",16530,72136
"167",2005 May,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",15107,70618
"168",2005 Jun,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",14121,68463
"169",2005 Jul,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",11836,55733
"170",2005 Aug,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",11792,56195
"171",2005 Sept,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",10968,52336
"172",2005 Oct,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",9206,43263
"173",2005 Nov,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",9205,43496
"174",2005 Dec,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",7289,35653
"175",2006 Jan,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",9214,46224
"176",2006 Feb,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",14150,68284
"177",2006 Mar,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",17199,83401
"178",2006 Apr,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",14916,71730
"179",2006 May,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",15789,76473
"180",2006 Jun,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",12901,63096
"181",2006 Jul,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",11939,57905
"182",2006 Aug,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",12095,59785
"183",2006 Sept,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",10140,50267
"184",2006 Oct,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",10498,51940
"185",2006 Nov,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",9046,44559
"186",2006 Dec,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",7997,39621
"187",2007 Jan,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",9946,48185
"188",2007 Feb,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",14503,68317
"189",2007 Mar,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",17095,80947
"190",2007 Apr,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",13198,63063
"191",2007 May,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",14797,70799
"192",2007 Jun,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",13327,62962
"193",2007 Jul,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",12554,60566
"194",2007 Aug,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",12071,60030.21
"195",2007 Sept,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",10420,51762.43
"196",2007 Oct,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",9175,45814.77
"197",2007 Nov,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",8494,42319.92
"198",2007 Dec,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",6411,32087
"199",2008 Jan,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",7132,35391
"200",2008 Feb,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",14818,72128
"201",2008 Mar,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",13829,67879
"202",2008 Apr,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",16383,81543
"203",2008 May,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",13886,70370
"204",2008 Jun,"Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",11221,56788
"205",1991 Jul,"Concessional","Co-payments","A","Alimentary tract and metabolism","A02","DRUGS FOR ACID RELATED DISORDERS",199544,4493259
"206",1991 Aug,"Concessional","Co-payments","A","Alimentary tract and metabolism","A02","DRUGS FOR ACID RELATED DISORDERS",166451,3850924
