ds,unique_id,Title,y
1944-09-30,CEU0500000001,Total Private,35652.0
1944-10-31,CEU0500000001,Total Private,35555.0
1944-11-30,CEU0500000001,Total Private,35597.0
1944-12-31,CEU0500000001,Total Private,35850.0
1945-01-31,CEU0500000001,Total Private,35229.0
1945-02-28,CEU0500000001,Total Private,35290.0
1945-03-31,CEU0500000001,Total Private,35411.0
1945-04-30,CEU0500000001,Total Private,35161.0
1945-05-31,CEU0500000001,Total Private,35024.0
1945-06-30,CEU0500000001,Total Private,35065.0
1945-07-31,CEU0500000001,Total Private,34769.0
1945-08-31,CEU0500000001,Total Private,34490.0
1945-09-30,CEU0500000001,Total Private,32760.0
1945-10-31,CEU0500000001,Total Private,32833.0
1945-11-30,CEU0500000001,Total Private,33354.0
1945-12-31,CEU0500000001,Total Private,33755.0
1946-01-31,CEU0500000001,Total Private,33656.0
1946-02-28,CEU0500000001,Total Private,33092.0
1946-03-31,CEU0500000001,Total Private,34240.0
1946-04-30,CEU0500000001,Total Private,34997.0
1946-05-31,CEU0500000001,Total Private,35409.0
1946-06-30,CEU0500000001,Total Private,36074.0
1946-07-31,CEU0500000001,Total Private,36474.0
1946-08-31,CEU0500000001,Total Private,37139.0
1946-09-30,CEU0500000001,Total Private,37532.0
1946-10-31,CEU0500000001,Total Private,37637.0
1946-11-30,CEU0500000001,Total Private,38045.0
1946-12-31,CEU0500000001,Total Private,38351.0
1947-01-31,CEU0500000001,Total Private,37510.0
1947-02-28,CEU0500000001,Total Private,37495.0
1947-03-31,CEU0500000001,Total Private,37720.0
1947-04-30,CEU0500000001,Total Private,37686.0
1947-05-31,CEU0500000001,Total Private,37772.0
1947-06-30,CEU0500000001,Total Private,38249.0
1947-07-31,CEU0500000001,Total Private,38186.0
1947-08-31,CEU0500000001,Total Private,38660.0
1947-09-30,CEU0500000001,Total Private,39077.0
1947-10-31,CEU0500000001,Total Private,39197.0
1947-11-30,CEU0500000001,Total Private,39283.0
1947-12-31,CEU0500000001,Total Private,39708.0
1948-01-31,CEU0500000001,Total Private,38617.0
1948-02-29,CEU0500000001,Total Private,38344.0
1948-03-31,CEU0500000001,Total Private,38624.0
1948-04-30,CEU0500000001,Total Private,38368.0
1948-05-31,CEU0500000001,Total Private,38728.0
1948-06-30,CEU0500000001,Total Private,39240.0
1948-07-31,CEU0500000001,Total Private,39355.0
1948-08-31,CEU0500000001,Total Private,39674.0
1948-09-30,CEU0500000001,Total Private,40012.0
1948-10-31,CEU0500000001,Total Private,39881.0
1948-11-30,CEU0500000001,Total Private,39763.0
1948-12-31,CEU0500000001,Total Private,39946.0
1949-01-31,CEU0500000001,Total Private,38282.0
1949-02-28,CEU0500000001,Total Private,37932.0
1949-03-31,CEU0500000001,Total Private,37785.0
1949-04-30,CEU0500000001,Total Private,37857.0
1949-05-31,CEU0500000001,Total Private,37625.0
1949-06-30,CEU0500000001,Total Private,37747.0
1949-07-31,CEU0500000001,Total Private,37558.0
1949-08-31,CEU0500000001,Total Private,37984.0
1949-09-30,CEU0500000001,Total Private,38365.0
1949-10-31,CEU0500000001,Total Private,37487.0
1949-11-30,CEU0500000001,Total Private,37729.0
1949-12-31,CEU0500000001,Total Private,38370.0
1950-01-31,CEU0500000001,Total Private,37056.0
1950-02-28,CEU0500000001,Total Private,36649.0
1950-03-31,CEU0500000001,Total Private,37281.0
1950-04-30,CEU0500000001,Total Private,37842.0
1950-05-31,CEU0500000001,Total Private,38299.0
1950-06-30,CEU0500000001,Total Private,39063.0
1950-07-31,CEU0500000001,Total Private,39369.0
1950-08-31,CEU0500000001,Total Private,40384.0
1950-09-30,CEU0500000001,Total Private,40805.0
1950-10-31,CEU0500000001,Total Private,40989.0
1950-11-30,CEU0500000001,Total Private,40948.0
1950-12-31,CEU0500000001,Total Private,41316.0
1951-01-31,CEU0500000001,Total Private,40337.0
1951-02-28,CEU0500000001,Total Private,40449.0
1951-03-31,CEU0500000001,Total Private,40851.0
1951-04-30,CEU0500000001,Total Private,40988.0
1951-05-31,CEU0500000001,Total Private,41186.0
1951-06-30,CEU0500000001,Total Private,41606.0
1951-07-31,CEU0500000001,Total Private,41546.0
1951-08-31,CEU0500000001,Total Private,41874.0
1951-09-30,CEU0500000001,Total Private,41975.0
1951-10-31,CEU0500000001,Total Private,41958.0
1951-11-30,CEU0500000001,Total Private,41970.0
1951-12-31,CEU0500000001,Total Private,42389.0
1952-01-31,CEU0500000001,Total Private,41064.0
1952-02-29,CEU0500000001,Total Private,41109.0
1952-03-31,CEU0500000001,Total Private,41222.0
1952-04-30,CEU0500000001,Total Private,41557.0
1952-05-31,CEU0500000001,Total Private,41614.0
1952-06-30,CEU0500000001,Total Private,41637.0
1952-07-31,CEU0500000001,Total Private,41441.0
1952-08-31,CEU0500000001,Total Private,42574.0
1952-09-30,CEU0500000001,Total Private,43146.0
1952-10-31,CEU0500000001,Total Private,43312.0
1952-11-30,CEU0500000001,Total Private,43495.0
1952-12-31,CEU0500000001,Total Private,44008.0
1953-01-31,CEU0500000001,Total Private,42667.0
1953-02-28,CEU0500000001,Total Private,42736.0
1953-03-31,CEU0500000001,Total Private,43054.0
1953-04-30,CEU0500000001,Total Private,43266.0
1953-05-31,CEU0500000001,Total Private,43457.0
1953-06-30,CEU0500000001,Total Private,43877.0
1953-07-31,CEU0500000001,Total Private,43873.0
1953-08-31,CEU0500000001,Total Private,44098.0
1953-09-30,CEU0500000001,Total Private,44168.0
1953-10-31,CEU0500000001,Total Private,44008.0
1953-11-30,CEU0500000001,Total Private,43664.0
1953-12-31,CEU0500000001,Total Private,43757.0
1954-01-31,CEU0500000001,Total Private,42002.0
1954-02-28,CEU0500000001,Total Private,41752.0
1954-03-31,CEU0500000001,Total Private,41691.0
1954-04-30,CEU0500000001,Total Private,41956.0
1954-05-31,CEU0500000001,Total Private,41837.0
1954-06-30,CEU0500000001,Total Private,42177.0
1954-07-31,CEU0500000001,Total Private,42047.0
1954-08-31,CEU0500000001,Total Private,42305.0
1954-09-30,CEU0500000001,Total Private,42540.0
1954-10-31,CEU0500000001,Total Private,42581.0
1954-11-30,CEU0500000001,Total Private,42742.0
1954-12-31,CEU0500000001,Total Private,43187.0
1955-01-31,CEU0500000001,Total Private,41824.0
1955-02-28,CEU0500000001,Total Private,41829.0
1955-03-31,CEU0500000001,Total Private,42304.0
1955-04-30,CEU0500000001,Total Private,42835.0
1955-05-31,CEU0500000001,Total Private,43231.0
1955-06-30,CEU0500000001,Total Private,43939.0
1955-07-31,CEU0500000001,Total Private,44039.0
1955-08-31,CEU0500000001,Total Private,44476.0
1955-09-30,CEU0500000001,Total Private,44758.0
1955-10-31,CEU0500000001,Total Private,44873.0
1955-11-30,CEU0500000001,Total Private,45054.0
1955-12-31,CEU0500000001,Total Private,45507.0
1956-01-31,CEU0500000001,Total Private,44092.0
1956-02-29,CEU0500000001,Total Private,44030.0
1956-03-31,CEU0500000001,Total Private,44250.0
1956-04-30,CEU0500000001,Total Private,44590.0
1956-05-31,CEU0500000001,Total Private,44845.0
1956-06-30,CEU0500000001,Total Private,45414.0
1956-07-31,CEU0500000001,Total Private,44671.0
1956-08-31,CEU0500000001,Total Private,45596.0
1956-09-30,CEU0500000001,Total Private,45715.0
1956-10-31,CEU0500000001,Total Private,45855.0
1956-11-30,CEU0500000001,Total Private,45820.0
1956-12-31,CEU0500000001,Total Private,46169.0
1957-01-31,CEU0500000001,Total Private,44554.0
1957-02-28,CEU0500000001,Total Private,44483.0
1957-03-31,CEU0500000001,Total Private,44632.0
1957-04-30,CEU0500000001,Total Private,44976.0
1957-05-31,CEU0500000001,Total Private,45152.0
1957-06-30,CEU0500000001,Total Private,45600.0
1957-07-31,CEU0500000001,Total Private,45528.0
1957-08-31,CEU0500000001,Total Private,45830.0
1957-09-30,CEU0500000001,Total Private,45817.0
1957-10-31,CEU0500000001,Total Private,45605.0
1957-11-30,CEU0500000001,Total Private,45323.0
1957-12-31,CEU0500000001,Total Private,45320.0
1958-01-31,CEU0500000001,Total Private,43532.0
1958-02-28,CEU0500000001,Total Private,42732.0
1958-03-31,CEU0500000001,Total Private,42534.0
1958-04-30,CEU0500000001,Total Private,42568.0
1958-05-31,CEU0500000001,Total Private,42779.0
1958-06-30,CEU0500000001,Total Private,43277.0
1958-07-31,CEU0500000001,Total Private,43291.0
1958-08-31,CEU0500000001,Total Private,43736.0
1958-09-30,CEU0500000001,Total Private,44152.0
1958-10-31,CEU0500000001,Total Private,44060.0
1958-11-30,CEU0500000001,Total Private,44408.0
1958-12-31,CEU0500000001,Total Private,44689.0
1959-01-31,CEU0500000001,Total Private,43613.0
1959-02-28,CEU0500000001,Total Private,43497.0
1959-03-31,CEU0500000001,Total Private,43919.0
1959-04-30,CEU0500000001,Total Private,44591.0
1959-05-31,CEU0500000001,Total Private,45202.0
1959-06-30,CEU0500000001,Total Private,45903.0
1959-07-31,CEU0500000001,Total Private,45927.0
1959-08-31,CEU0500000001,Total Private,45746.0
1959-09-30,CEU0500000001,Total Private,45868.0
1959-10-31,CEU0500000001,Total Private,45674.0
1959-11-30,CEU0500000001,Total Private,45800.0
1959-12-31,CEU0500000001,Total Private,46441.0
1960-01-31,CEU0500000001,Total Private,45135.0
1960-02-29,CEU0500000001,Total Private,45060.0
1960-03-31,CEU0500000001,Total Private,44932.0
1960-04-30,CEU0500000001,Total Private,45711.0
1960-05-31,CEU0500000001,Total Private,45889.0
1960-06-30,CEU0500000001,Total Private,46344.0
1960-07-31,CEU0500000001,Total Private,46241.0
1960-08-31,CEU0500000001,Total Private,46446.0
1960-09-30,CEU0500000001,Total Private,46435.0
1960-10-31,CEU0500000001,Total Private,46214.0
1960-11-30,CEU0500000001,Total Private,45870.0
1960-12-31,CEU0500000001,Total Private,45702.0
1961-01-31,CEU0500000001,Total Private,44208.0
1961-02-28,CEU0500000001,Total Private,43785.0
1961-03-31,CEU0500000001,Total Private,44037.0
1961-04-30,CEU0500000001,Total Private,44464.0
1961-05-31,CEU0500000001,Total Private,44994.0
1961-06-30,CEU0500000001,Total Private,45771.0
1961-07-31,CEU0500000001,Total Private,45846.0
1961-08-31,CEU0500000001,Total Private,46221.0
1961-09-30,CEU0500000001,Total Private,46304.0
1961-10-31,CEU0500000001,Total Private,46283.0
1961-11-30,CEU0500000001,Total Private,46333.0
1961-12-31,CEU0500000001,Total Private,46542.0
1962-01-31,CEU0500000001,Total Private,45060.0
1962-02-28,CEU0500000001,Total Private,45096.0
1962-03-31,CEU0500000001,Total Private,45345.0
1962-04-30,CEU0500000001,Total Private,46172.0
1962-05-31,CEU0500000001,Total Private,46566.0
1962-06-30,CEU0500000001,Total Private,47155.0
1962-07-31,CEU0500000001,Total Private,47211.0
1962-08-31,CEU0500000001,Total Private,47470.0
1962-09-30,CEU0500000001,Total Private,47613.0
1962-10-31,CEU0500000001,Total Private,47498.0
1962-11-30,CEU0500000001,Total Private,47288.0
1962-12-31,CEU0500000001,Total Private,47380.0
1963-01-31,CEU0500000001,Total Private,45889.0
1963-02-28,CEU0500000001,Total Private,45769.0
1963-03-31,CEU0500000001,Total Private,46048.0
1963-04-30,CEU0500000001,Total Private,46832.0
1963-05-31,CEU0500000001,Total Private,47241.0
1963-06-30,CEU0500000001,Total Private,47892.0
1963-07-31,CEU0500000001,Total Private,47986.0
1963-08-31,CEU0500000001,Total Private,48228.0
1963-09-30,CEU0500000001,Total Private,48364.0
1963-10-31,CEU0500000001,Total Private,48348.0
1963-11-30,CEU0500000001,Total Private,48121.0
1963-12-31,CEU0500000001,Total Private,48355.0
1964-01-31,CEU0500000001,Total Private,46879.0
1964-02-29,CEU0500000001,Total Private,46959.0
1964-03-31,CEU0500000001,Total Private,47275.0
1964-04-30,CEU0500000001,Total Private,47812.0
1964-05-31,CEU0500000001,Total Private,48326.0
1964-06-30,CEU0500000001,Total Private,49110.0
1964-07-31,CEU0500000001,Total Private,49275.0
1964-08-31,CEU0500000001,Total Private,49558.0
1964-09-30,CEU0500000001,Total Private,49778.0
1964-10-31,CEU0500000001,Total Private,49459.0
1964-11-30,CEU0500000001,Total Private,49673.0
1964-12-31,CEU0500000001,Total Private,50056.0
1965-01-31,CEU0500000001,Total Private,48603.0
1965-02-28,CEU0500000001,Total Private,48632.0
1965-03-31,CEU0500000001,Total Private,49014.0
1965-04-30,CEU0500000001,Total Private,49753.0
1965-05-31,CEU0500000001,Total Private,50284.0
1965-06-30,CEU0500000001,Total Private,51146.0
1965-07-31,CEU0500000001,Total Private,51301.0
1965-08-31,CEU0500000001,Total Private,51604.0
1965-09-30,CEU0500000001,Total Private,51761.0
1965-10-31,CEU0500000001,Total Private,51796.0
1965-11-30,CEU0500000001,Total Private,51901.0
1965-12-31,CEU0500000001,Total Private,52405.0
1966-01-31,CEU0500000001,Total Private,50964.0
1966-02-28,CEU0500000001,Total Private,51015.0
1966-03-31,CEU0500000001,Total Private,51550.0
1966-04-30,CEU0500000001,Total Private,52234.0
1966-05-31,CEU0500000001,Total Private,52747.0
1966-06-30,CEU0500000001,Total Private,53811.0
1966-07-31,CEU0500000001,Total Private,53847.0
1966-08-31,CEU0500000001,Total Private,54122.0
1966-09-30,CEU0500000001,Total Private,54142.0
1966-10-31,CEU0500000001,Total Private,54147.0
1966-11-30,CEU0500000001,Total Private,54177.0
1966-12-31,CEU0500000001,Total Private,54562.0
1967-01-31,CEU0500000001,Total Private,53092.0
1967-02-28,CEU0500000001,Total Private,52928.0
1967-03-31,CEU0500000001,Total Private,53218.0
1967-04-30,CEU0500000001,Total Private,53596.0
1967-05-31,CEU0500000001,Total Private,53975.0
1967-06-30,CEU0500000001,Total Private,54826.0
1967-07-31,CEU0500000001,Total Private,54835.0
1967-08-31,CEU0500000001,Total Private,55148.0
1967-09-30,CEU0500000001,Total Private,55078.0
1967-10-31,CEU0500000001,Total Private,54983.0
1967-11-30,CEU0500000001,Total Private,55391.0
1967-12-31,CEU0500000001,Total Private,55804.0
1968-01-31,CEU0500000001,Total Private,54017.0
1968-02-29,CEU0500000001,Total Private,54266.0
1968-03-31,CEU0500000001,Total Private,54565.0
1968-04-30,CEU0500000001,Total Private,55252.0
1968-05-31,CEU0500000001,Total Private,55563.0
1968-06-30,CEU0500000001,Total Private,56531.0
1968-07-31,CEU0500000001,Total Private,56569.0
1968-08-31,CEU0500000001,Total Private,56864.0
1968-09-30,CEU0500000001,Total Private,56939.0
1968-10-31,CEU0500000001,Total Private,57025.0
1968-11-30,CEU0500000001,Total Private,57277.0
1968-12-31,CEU0500000001,Total Private,57735.0
1969-01-31,CEU0500000001,Total Private,56234.0
1969-02-28,CEU0500000001,Total Private,56349.0
1969-03-31,CEU0500000001,Total Private,56813.0
1969-04-30,CEU0500000001,Total Private,57409.0
1969-05-31,CEU0500000001,Total Private,57866.0
1969-06-30,CEU0500000001,Total Private,58903.0
1969-07-31,CEU0500000001,Total Private,58821.0
1969-08-31,CEU0500000001,Total Private,59195.0
1969-09-30,CEU0500000001,Total Private,59059.0
1969-10-31,CEU0500000001,Total Private,59106.0
1969-11-30,CEU0500000001,Total Private,59049.0
1969-12-31,CEU0500000001,Total Private,59372.0
1970-01-31,CEU0500000001,Total Private,57675.0
1970-02-28,CEU0500000001,Total Private,57653.0
1970-03-31,CEU0500000001,Total Private,57995.0
1970-04-30,CEU0500000001,Total Private,58239.0
1970-05-31,CEU0500000001,Total Private,58299.0
1970-06-30,CEU0500000001,Total Private,58998.0
1970-07-31,CEU0500000001,Total Private,58752.0
1970-08-31,CEU0500000001,Total Private,58770.0
1970-09-30,CEU0500000001,Total Private,58739.0
1970-10-31,CEU0500000001,Total Private,58160.0
1970-11-30,CEU0500000001,Total Private,58006.0
1970-12-31,CEU0500000001,Total Private,58532.0
1971-01-31,CEU0500000001,Total Private,56979.0
1971-02-28,CEU0500000001,Total Private,56791.0
1971-03-31,CEU0500000001,Total Private,57094.0
1971-04-30,CEU0500000001,Total Private,57673.0
1971-05-31,CEU0500000001,Total Private,58147.0
1971-06-30,CEU0500000001,Total Private,58894.0
1971-07-31,CEU0500000001,Total Private,58664.0
1971-08-31,CEU0500000001,Total Private,58868.0
1971-09-30,CEU0500000001,Total Private,59100.0
1971-10-31,CEU0500000001,Total Private,58995.0
1971-11-30,CEU0500000001,Total Private,59173.0
1971-12-31,CEU0500000001,Total Private,59499.0
1972-01-31,CEU0500000001,Total Private,58149.0
1972-02-29,CEU0500000001,Total Private,58180.0
1972-03-31,CEU0500000001,Total Private,58710.0
1972-04-30,CEU0500000001,Total Private,59343.0
1972-05-31,CEU0500000001,Total Private,59927.0
1972-06-30,CEU0500000001,Total Private,60998.0
1972-07-31,CEU0500000001,Total Private,60540.0
1972-08-31,CEU0500000001,Total Private,61172.0
1972-09-30,CEU0500000001,Total Private,61288.0
1972-10-31,CEU0500000001,Total Private,61611.0
1972-11-30,CEU0500000001,Total Private,61887.0
1972-12-31,CEU0500000001,Total Private,62194.0
1973-01-31,CEU0500000001,Total Private,60862.0
1973-02-28,CEU0500000001,Total Private,61078.0
1973-03-31,CEU0500000001,Total Private,61560.0
1973-04-30,CEU0500000001,Total Private,62146.0
1973-05-31,CEU0500000001,Total Private,62699.0
1973-06-30,CEU0500000001,Total Private,63650.0
1973-07-31,CEU0500000001,Total Private,63378.0
1973-08-31,CEU0500000001,Total Private,63870.0
1973-09-30,CEU0500000001,Total Private,64050.0
1973-10-31,CEU0500000001,Total Private,64253.0
1973-11-30,CEU0500000001,Total Private,64484.0
1973-12-31,CEU0500000001,Total Private,64564.0
1974-01-31,CEU0500000001,Total Private,62905.0
1974-02-28,CEU0500000001,Total Private,62822.0
1974-03-31,CEU0500000001,Total Private,63080.0
1974-04-30,CEU0500000001,Total Private,63623.0
1974-05-31,CEU0500000001,Total Private,64210.0
1974-06-30,CEU0500000001,Total Private,64989.0
1974-07-31,CEU0500000001,Total Private,64717.0
1974-08-31,CEU0500000001,Total Private,64952.0
1974-09-30,CEU0500000001,Total Private,64930.0
1974-10-31,CEU0500000001,Total Private,64814.0
1974-11-30,CEU0500000001,Total Private,64331.0
1974-12-31,CEU0500000001,Total Private,63653.0
1975-01-31,CEU0500000001,Total Private,61525.0
1975-02-28,CEU0500000001,Total Private,60809.0
1975-03-31,CEU0500000001,Total Private,60788.0
1975-04-30,CEU0500000001,Total Private,61114.0
1975-05-31,CEU0500000001,Total Private,61724.0
1975-06-30,CEU0500000001,Total Private,62369.0
1975-07-31,CEU0500000001,Total Private,62321.0
1975-08-31,CEU0500000001,Total Private,62971.0
1975-09-30,CEU0500000001,Total Private,63178.0
1975-10-31,CEU0500000001,Total Private,63293.0
1975-11-30,CEU0500000001,Total Private,63330.0
1975-12-31,CEU0500000001,Total Private,63575.0
1976-01-31,CEU0500000001,Total Private,62377.0
1976-02-29,CEU0500000001,Total Private,62420.0
1976-03-31,CEU0500000001,Total Private,62957.0
1976-04-30,CEU0500000001,Total Private,63817.0
1976-05-31,CEU0500000001,Total Private,64326.0
1976-06-30,CEU0500000001,Total Private,65076.0
1976-07-31,CEU0500000001,Total Private,64992.0
1976-08-31,CEU0500000001,Total Private,65375.0
1976-09-30,CEU0500000001,Total Private,65671.0
1976-10-31,CEU0500000001,Total Private,65474.0
1976-11-30,CEU0500000001,Total Private,65674.0
1976-12-31,CEU0500000001,Total Private,65857.0
1977-01-31,CEU0500000001,Total Private,64471.0
1977-02-28,CEU0500000001,Total Private,64495.0
1977-03-31,CEU0500000001,Total Private,65284.0
1977-04-30,CEU0500000001,Total Private,66219.0
1977-05-31,CEU0500000001,Total Private,66989.0
1977-06-30,CEU0500000001,Total Private,67988.0
1977-07-31,CEU0500000001,Total Private,67980.0
1977-08-31,CEU0500000001,Total Private,68381.0
1977-09-30,CEU0500000001,Total Private,68814.0
1977-10-31,CEU0500000001,Total Private,68871.0
1977-11-30,CEU0500000001,Total Private,69145.0
1977-12-31,CEU0500000001,Total Private,69375.0
1978-01-31,CEU0500000001,Total Private,67831.0
1978-02-28,CEU0500000001,Total Private,67866.0
1978-03-31,CEU0500000001,Total Private,68719.0
1978-04-30,CEU0500000001,Total Private,69970.0
1978-05-31,CEU0500000001,Total Private,70718.0
1978-06-30,CEU0500000001,Total Private,71809.0
1978-07-31,CEU0500000001,Total Private,71727.0
1978-08-31,CEU0500000001,Total Private,72187.0
1978-09-30,CEU0500000001,Total Private,72430.0
1978-10-31,CEU0500000001,Total Private,72609.0
1978-11-30,CEU0500000001,Total Private,72998.0
1978-12-31,CEU0500000001,Total Private,73309.0
1979-01-31,CEU0500000001,Total Private,71724.0
1979-02-28,CEU0500000001,Total Private,71731.0
1979-03-31,CEU0500000001,Total Private,72540.0
1979-04-30,CEU0500000001,Total Private,73047.0
1979-05-31,CEU0500000001,Total Private,73824.0
1979-06-30,CEU0500000001,Total Private,74746.0
1979-07-31,CEU0500000001,Total Private,74469.0
1979-08-31,CEU0500000001,Total Private,74652.0
1979-09-30,CEU0500000001,Total Private,74824.0
1979-10-31,CEU0500000001,Total Private,74874.0
1979-11-30,CEU0500000001,Total Private,74906.0
1979-12-31,CEU0500000001,Total Private,75046.0
1980-01-31,CEU0500000001,Total Private,73443.0
1980-02-29,CEU0500000001,Total Private,73310.0
1980-03-31,CEU0500000001,Total Private,73711.0
1980-04-30,CEU0500000001,Total Private,73858.0
1980-05-31,CEU0500000001,Total Private,73975.0
1980-06-30,CEU0500000001,Total Private,74299.0
1980-07-31,CEU0500000001,Total Private,73827.0
1980-08-31,CEU0500000001,Total Private,74297.0
1980-09-30,CEU0500000001,Total Private,74555.0
1980-10-31,CEU0500000001,Total Private,74662.0
1980-11-30,CEU0500000001,Total Private,74867.0
1980-12-31,CEU0500000001,Total Private,75091.0
1981-01-31,CEU0500000001,Total Private,73487.0
1981-02-28,CEU0500000001,Total Private,73393.0
1981-03-31,CEU0500000001,Total Private,73894.0
1981-04-30,CEU0500000001,Total Private,74585.0
1981-05-31,CEU0500000001,Total Private,75115.0
1981-06-30,CEU0500000001,Total Private,75977.0
1981-07-31,CEU0500000001,Total Private,75883.0
1981-08-31,CEU0500000001,Total Private,76124.0
1981-09-30,CEU0500000001,Total Private,76188.0
1981-10-31,CEU0500000001,Total Private,75892.0
1981-11-30,CEU0500000001,Total Private,75584.0
1981-12-31,CEU0500000001,Total Private,75277.0
1982-01-31,CEU0500000001,Total Private,73292.0
1982-02-28,CEU0500000001,Total Private,73154.0
1982-03-31,CEU0500000001,Total Private,73351.0
1982-04-30,CEU0500000001,Total Private,73675.0
1982-05-31,CEU0500000001,Total Private,74143.0
1982-06-30,CEU0500000001,Total Private,74518.0
1982-07-31,CEU0500000001,Total Private,74155.0
1982-08-31,CEU0500000001,Total Private,74153.0
1982-09-30,CEU0500000001,Total Private,74034.0
1982-10-31,CEU0500000001,Total Private,73527.0
1982-11-30,CEU0500000001,Total Private,73273.0
1982-12-31,CEU0500000001,Total Private,73198.0
1983-01-31,CEU0500000001,Total Private,71708.0
1983-02-28,CEU0500000001,Total Private,71477.0
1983-03-31,CEU0500000001,Total Private,72004.0
1983-04-30,CEU0500000001,Total Private,72895.0
1983-05-31,CEU0500000001,Total Private,73691.0
1983-06-30,CEU0500000001,Total Private,74713.0
1983-07-31,CEU0500000001,Total Private,75000.0
1983-08-31,CEU0500000001,Total Private,74874.0
1983-09-30,CEU0500000001,Total Private,75980.0
1983-10-31,CEU0500000001,Total Private,76107.0
1983-11-30,CEU0500000001,Total Private,76331.0
1983-12-31,CEU0500000001,Total Private,76627.0
1984-01-31,CEU0500000001,Total Private,75370.0
1984-02-29,CEU0500000001,Total Private,75652.0
1984-03-31,CEU0500000001,Total Private,76300.0
1984-04-30,CEU0500000001,Total Private,77238.0
1984-05-31,CEU0500000001,Total Private,78067.0
1984-06-30,CEU0500000001,Total Private,79088.0
1984-07-31,CEU0500000001,Total Private,79205.0
1984-08-31,CEU0500000001,Total Private,79583.0
1984-09-30,CEU0500000001,Total Private,79835.0
1984-10-31,CEU0500000001,Total Private,79923.0
1984-11-30,CEU0500000001,Total Private,80135.0
1984-12-31,CEU0500000001,Total Private,80270.0
1985-01-31,CEU0500000001,Total Private,78724.0
1985-02-28,CEU0500000001,Total Private,78642.0
1985-03-31,CEU0500000001,Total Private,79331.0
1985-04-30,CEU0500000001,Total Private,80138.0
1985-05-31,CEU0500000001,Total Private,80931.0
1985-06-30,CEU0500000001,Total Private,81705.0
