"unique_id","ds","Takings","Occupancy","CPI"
"New South Wales",2003-10-01,526.438853,64.6,79.5
"New South Wales",2004-01-01,482.130711,63.5,80.2
"New South Wales",2004-04-01,428.894513,58.6,80.6
"New South Wales",2004-07-01,485.618783,63,80.9
"New South Wales",2004-10-01,507.386929,63.8,81.5
"New South Wales",2005-01-01,533.041944,65.4,82.1
"New South Wales",2005-04-01,455.049837,58.5,82.6
"New South Wales",2005-07-01,527.90863,62,83.4
"New South Wales",2005-10-01,550.486764,63.5,83.8
"New South Wales",2006-01-01,551.236799,63.4,84.5
"New South Wales",2006-04-01,490.052154,58.7,85.9
"New South Wales",2006-07-01,551.930412,61.7,86.7
"New South Wales",2006-10-01,619.482978,65.5,86.6
"New South Wales",2007-01-01,619.024827,66.1,86.6
"New South Wales",2007-04-01,533.278301,59.9,87.7
"New South Wales",2007-07-01,615.632032,64,88.3
"New South Wales",2007-10-01,650.192339,65.3,89.1
"New South Wales",2008-01-01,672.035224,65.7,90.3
"New South Wales",2008-04-01,580.080568,60.1,91.6
"New South Wales",2008-07-01,626.106937,61.9,92.7
"New South Wales",2008-10-01,649.086312,63.9,92.4
"New South Wales",2009-01-01,623.723619,63.5,92.5
"New South Wales",2009-04-01,524.913027,57.7,92.9
"New South Wales",2009-07-01,581.185493,61.3,93.8
"New South Wales",2009-10-01,667.880567,66.5,94.3
"New South Wales",2010-01-01,661.848252,65.9,95.2
"New South Wales",2010-04-01,575.03234,61,95.8
"New South Wales",2010-07-01,644.633553,64.8,96.5
"New South Wales",2010-10-01,713.635089,67.6,96.9
"New South Wales",2011-01-01,713.880388,67.8,98.3
"New South Wales",2011-04-01,619.832321,62.9,99.2
"New South Wales",2011-07-01,666.925841,65.4,99.8
"New South Wales",2011-10-01,735.683492,67.9,99.8
"New South Wales",2012-01-01,733.641583,67.8,99.9
"New South Wales",2012-04-01,639.935619,62.9,100.4
"New South Wales",2012-07-01,698.027486,65.9,101.8
"New South Wales",2012-10-01,757.941508,67.5,102
"New South Wales",2013-01-01,733.461606,67,102.4
"New South Wales",2013-04-01,662.688052,62.6,102.8
"New South Wales",2013-07-01,703.267424,64.8,104
"New South Wales",2013-10-01,796.918143,67.7,104.8
"New South Wales",2014-01-01,777.156956,67.2,105.4
"New South Wales",2014-04-01,677.233031,62.8,105.9
"New South Wales",2014-07-01,753.697422,65.5,106.4
"New South Wales",2014-10-01,870.406771,68.6,106.6
"New South Wales",2015-01-01,869.391784,68.9,106.8
"New South Wales",2015-04-01,750.172914,64.8,107.5
"New South Wales",2015-07-01,818.213202,67.2,108
"New South Wales",2015-10-01,945.495269,69.8,108.4
"New South Wales",2016-01-01,933.916195,69.6,108.2
"New South Wales",2016-04-01,801.440041,66.3,108.6
"Northern Territory",1998-01-01,22.220195,44,67
"Northern Territory",1998-04-01,29.265133,54,67.4
"Northern Territory",1998-07-01,42.3539,71,67.5
"Northern Territory",1998-10-01,30.003811,53,67.8
"Northern Territory",1999-01-01,22.043629,42,67.8
"Northern Territory",1999-04-01,33.049701,59,68.1
"Northern Territory",1999-07-01,46.832676,78,68.7
"Northern Territory",1999-10-01,36.919784,60,69.1
"Northern Territory",2000-01-01,26.930802,47.7,69.7
"Northern Territory",2000-04-01,38.215715,63,70.2
"Northern Territory",2000-07-01,48.177667,69.4,72.9
"Northern Territory",2000-10-01,35.815584,55.4,73.1
"Northern Territory",2001-01-01,28.092168,44.9,73.9
"Northern Territory",2001-04-01,39.040918,59.5,74.5
"Northern Territory",2001-07-01,51.7899,73.3,74.7
"Northern Territory",2001-10-01,34.411908,53.4,75.4
"Northern Territory",2002-01-01,26.781852,43.1,76.1
"Northern Territory",2002-04-01,36.638506,56,76.6
"Northern Territory",2002-07-01,50.620345,70.8,77.1
"Northern Territory",2002-10-01,36.182932,52.9,77.6
"Northern Territory",2003-01-01,26.362166,42.3,78.6
"Northern Territory",2003-04-01,36.241337,52.8,78.6
"Northern Territory",2003-07-01,51.537438,71.3,79.1
"Northern Territory",2003-10-01,34.350815,49.6,79.5
"Northern Territory",2004-01-01,27.052951,41.8,80.2
"Northern Territory",2004-04-01,40.681569,60,80.6
"Northern Territory",2004-07-01,57.663496,76,80.9
"Northern Territory",2004-10-01,39.491914,54.6,81.5
"Northern Territory",2005-01-01,30.910963,46.3,82.1
"Northern Territory",2005-04-01,46.41327,63.2,82.6
"Northern Territory",2005-07-01,60.884704,75.9,83.4
"Northern Territory",2005-10-01,39.971255,55.7,83.8
"Northern Territory",2006-01-01,31.634998,47.7,84.5
"Northern Territory",2006-04-01,47.974434,64.7,85.9
"Northern Territory",2006-07-01,68.575777,75.9,86.7
"Northern Territory",2006-10-01,47.008326,60.7,86.6
"Northern Territory",2007-01-01,38.18077,52.3,86.6
"Northern Territory",2007-04-01,53.437299,66,87.7
"Northern Territory",2007-07-01,73.641954,78.1,88.3
"Northern Territory",2007-10-01,52.241732,64,89.1
"Northern Territory",2008-01-01,42.683157,55.3,90.3
"Northern Territory",2008-04-01,60.458338,69,91.6
"Northern Territory",2008-07-01,86.175849,78.2,92.7
"Northern Territory",2008-10-01,55.422329,60.2,92.4
"Northern Territory",2009-01-01,41.988245,49.7,92.5
"Northern Territory",2009-04-01,70.290642,66.3,92.9
"Northern Territory",2009-07-01,86.155791,74.3,93.8
"Northern Territory",2009-10-01,55.315687,58.7,94.3
"Northern Territory",2010-01-01,42.734502,52.2,95.2
"Northern Territory",2010-04-01,70.588352,69.4,95.8
"Northern Territory",2010-07-01,93.218136,79.8,96.5
"Northern Territory",2010-10-01,58.474977,60.5,96.9
"Northern Territory",2011-01-01,46.176352,51.8,98.3
"Northern Territory",2011-04-01,70.475696,65.3,99.2
"Northern Territory",2011-07-01,84.96277,74.6,99.8
"Northern Territory",2011-10-01,56.797351,61.4,99.8
"Northern Territory",2012-01-01,45.220988,53.1,99.9
"Northern Territory",2012-04-01,73.797832,67.1,100.4
"Northern Territory",2012-07-01,91.773423,74.1,101.8
"Northern Territory",2012-10-01,65.223095,62.4,102
"Northern Territory",2013-01-01,52.332901,54.8,102.4
"Northern Territory",2013-04-01,79.878159,68.4,102.8
"Northern Territory",2013-07-01,93.432998,74,104
"Northern Territory",2013-10-01,62.624959,61,104.8
"Northern Territory",2014-01-01,47.349486,52.4,105.4
"Northern Territory",2014-04-01,75.200769,65.5,105.9
"Northern Territory",2014-07-01,117.934682,75.1,106.4
"Northern Territory",2014-10-01,69.784312,58.6,106.6
"Northern Territory",2015-01-01,53.728198,50.6,106.8
"Northern Territory",2015-04-01,82.894074,64.7,107.5
"Northern Territory",2015-07-01,115.907478,74.3,108
"Northern Territory",2015-10-01,68.244836,54.5,108.4
"Northern Territory",2016-01-01,54.966064,48.1,108.2
"Northern Territory",2016-04-01,89.942224,65.4,108.6
"Queensland",1998-01-01,230.026682,54,67
"Queensland",1998-04-01,218.680836,54,67.4
"Queensland",1998-07-01,267.851582,64,67.5
"Queensland",1998-10-01,278.907065,61,67.8
"Queensland",1999-01-01,240.591543,55,67.8
"Queensland",1999-04-01,235.234684,56,68.1
"Queensland",1999-07-01,286.345556,65,68.7
"Queensland",1999-10-01,287.924838,61,69.1
"Queensland",2000-01-01,252.946095,54.7,69.7
"Queensland",2000-04-01,252.756771,56.5,70.2
"Queensland",2000-07-01,313.928189,61.8,72.9
"Queensland",2000-10-01,326.517479,60.6,73.1
"Queensland",2001-01-01,288.315476,55.9,73.9
"Queensland",2001-04-01,280.21711,57.2,74.5
"Queensland",2001-07-01,336.553321,65.2,74.7
"Queensland",2001-10-01,329.697139,60,75.4
"Queensland",2002-01-01,306.0461,58.4,76.1
"Queensland",2002-04-01,282.589503,56.2,76.6
"Queensland",2002-07-01,353.165557,66.7,77.1
"Queensland",2002-10-01,361.237665,64.4,77.6
"Queensland",2003-01-01,316.158923,58.6,78.6
"Queensland",2003-04-01,313.207416,57.4,78.6
"Queensland",2003-07-01,392.566688,69.3,79.1
"Queensland",2003-10-01,412.907487,67.3,79.5
"Queensland",2004-01-01,362.561324,61.8,80.2
"Queensland",2004-04-01,347.05902,61.3,80.6
"Queensland",2004-07-01,439.730588,73,80.9
"Queensland",2004-10-01,427.38526,67.3,81.5
"Queensland",2005-01-01,386.038631,62,82.1
"Queensland",2005-04-01,378.39524,62,82.6
"Queensland",2005-07-01,475.123471,72.3,83.4
"Queensland",2005-10-01,461.511286,67.8,83.8
"Queensland",2006-01-01,418.231166,63.8,84.5
"Queensland",2006-04-01,411.069895,63,85.9
"Queensland",2006-07-01,505.819725,73.4,86.7
"Queensland",2006-10-01,515.417672,69.3,86.6
"Queensland",2007-01-01,458.620384,65,86.6
"Queensland",2007-04-01,445.375499,63,87.7
"Queensland",2007-07-01,560.049881,72.5,88.3
"Queensland",2007-10-01,552.2099,68.3,89.1
"Queensland",2008-01-01,498.659492,61.4,90.3
"Queensland",2008-04-01,465.545624,61.5,91.6
"Queensland",2008-07-01,565.580308,69.6,92.7
"Queensland",2008-10-01,556.271144,65.5,92.4
"Queensland",2009-01-01,474.152683,58.3,92.5
"Queensland",2009-04-01,451.329747,57.6,92.9
"Queensland",2009-07-01,542.759362,67.3,93.8
"Queensland",2009-10-01,538.195354,63.9,94.3
"Queensland",2010-01-01,464.352144,57.4,95.2
"Queensland",2010-04-01,461.46248,58.5,95.8
"Queensland",2010-07-01,573.376001,68.9,96.5
"Queensland",2010-10-01,562.067255,64.8,96.9
"Queensland",2011-01-01,470.76284,58.1,98.3
"Queensland",2011-04-01,488.682264,61,99.2
"Queensland",2011-07-01,592.26006,70.5,99.8
"Queensland",2011-10-01,586.802602,66.9,99.8
"Queensland",2012-01-01,529.679836,62.3,99.9
"Queensland",2012-04-01,519.332266,62.6,100.4
"Queensland",2012-07-01,617.294564,71,101.8
"Queensland",2012-10-01,604.566534,67,102
"Queensland",2013-01-01,527.478946,61.2,102.4
"Queensland",2013-04-01,515.465389,60.3,102.8
"Queensland",2013-07-01,585.757261,67.1,104
"Queensland",2013-10-01,575.428365,63.4,104.8
"Queensland",2014-01-01,499.834003,58.6,105.4
"Queensland",2014-04-01,493.930883,58.4,105.9
"Queensland",2014-07-01,650.078592,67.3,106.4
"Queensland",2014-10-01,666.480135,63.8,106.6
"Queensland",2015-01-01,563.888325,58.6,106.8
"Queensland",2015-04-01,548.987463,58.1,107.5
"Queensland",2015-07-01,675.419835,67.5,108
"Queensland",2015-10-01,665.879938,63.8,108.4
"Queensland",2016-01-01,599.230463,59.8,108.2
"Queensland",2016-04-01,574.56507,59.8,108.6
"South Australia",1998-01-01,44.011467,59,67
"South Australia",1998-04-01,40.372002,54,67.4
"South Australia",1998-07-01,42.539387,54,67.5
"South Australia",1998-10-01,49.829017,61,67.8
"South Australia",1999-01-01,45.490181,58,67.8
"South Australia",1999-04-01,44.448449,55,68.1
"South Australia",1999-07-01,44.036714,55,68.7
"South Australia",1999-10-01,51.009705,58,69.1
"South Australia",2000-01-01,50.433301,58,69.7
"South Australia",2000-04-01,49.254021,56.4,70.2
"South Australia",2000-07-01,50.109599,53.5,72.9
"South Australia",2000-10-01,54.859588,56.8,73.1
"South Australia",2001-01-01,55.529649,58.4,73.9
"South Australia",2001-04-01,52.096361,54.1,74.5
"South Australia",2001-07-01,50.44227,53.5,74.7
"South Australia",2001-10-01,55.817042,57.2,75.4
"South Australia",2002-01-01,58.242598,59.8,76.1
"South Australia",2002-04-01,52.922752,54.3,76.6
"South Australia",2002-07-01,54.853732,54.9,77.1
"South Australia",2002-10-01,64.897721,61.1,77.6
"South Australia",2003-01-01,59.135157,55.3,78.6
"South Australia",2003-04-01,56.754168,52.4,78.6
"South Australia",2003-07-01,60.545766,55.3,79.1
"South Australia",2003-10-01,68.257905,59.2,79.5
"South Australia",2004-01-01,68.60629,58.9,80.2
"South Australia",2004-04-01,60.906692,53.5,80.6
"South Australia",2004-07-01,62.678868,56,80.9
"South Australia",2004-10-01,71.221323,61.4,81.5
"South Australia",2005-01-01,70.527241,60.6,82.1
"South Australia",2005-04-01,63.113825,56,82.6
"South Australia",2005-07-01,67.91764,57.8,83.4
"South Australia",2005-10-01,74.42612,61.6,83.8
"South Australia",2006-01-01,79.946391,64.2,84.5
"South Australia",2006-04-01,71.799624,59.6,85.9
"South Australia",2006-07-01,74.864361,61.8,86.7
"South Australia",2006-10-01,80.481809,64.4,86.6
"South Australia",2007-01-01,86.407502,66.3,86.6
"South Australia",2007-04-01,77.937822,62.5,87.7
"South Australia",2007-07-01,80.110761,62.9,88.3
"South Australia",2007-10-01,89.67444,65.4,89.1
"South Australia",2008-01-01,93.219785,65.7,90.3
"South Australia",2008-04-01,84.010356,61,91.6
"South Australia",2008-07-01,86.415379,61.1,92.7
"South Australia",2008-10-01,94.323975,64.4,92.4
"South Australia",2009-01-01,94.337976,62.5,92.5
"South Australia",2009-04-01,84.794222,59.6,92.9
"South Australia",2009-07-01,86.182542,61.3,93.8
"South Australia",2009-10-01,93.659337,62.3,94.3
"South Australia",2010-01-01,99.664814,65,95.2
"South Australia",2010-04-01,89.223744,61.1,95.8
"South Australia",2010-07-01,88.843855,61.1,96.5
"South Australia",2010-10-01,102.894864,64.4,96.9
"South Australia",2011-01-01,99.705067,63.2,98.3
"South Australia",2011-04-01,97.513493,62.4,99.2
"South Australia",2011-07-01,95.874514,60.6,99.8
"South Australia",2011-10-01,106.096922,64.8,99.8
"South Australia",2012-01-01,113.858173,65.4,99.9
"South Australia",2012-04-01,95.620381,59.8,100.4
"South Australia",2012-07-01,98.776447,62.1,101.8
"South Australia",2012-10-01,108.938441,64.2,102
"South Australia",2013-01-01,106.25998,62.3,102.4
"South Australia",2013-04-01,91.468021,57.2,102.8
"South Australia",2013-07-01,93.769911,59.1,104
"South Australia",2013-10-01,112.58599,63.5,104.8
"South Australia",2014-01-01,113.164301,63.4,105.4
"South Australia",2014-04-01,96.840409,59,105.9
"South Australia",2014-07-01,102.973255,59.9,106.4
"South Australia",2014-10-01,120.019579,64.4,106.6
"South Australia",2015-01-01,121.15573,62.8,106.8
"South Australia",2015-04-01,104.343923,59.4,107.5
"South Australia",2015-07-01,104.590806,59,108
"South Australia",2015-10-01,126.971924,64.3,108.4
"South Australia",2016-01-01,125.004214,63.4,108.2
"South Australia",2016-04-01,109.573137,60.9,108.6
"Tasmania",1998-01-01,28.69907,67,67
"Tasmania",1998-04-01,19.017513,45,67.4
"Tasmania",1998-07-01,16.105563,39,67.5
"Tasmania",1998-10-01,25.886178,56,67.8
"Tasmania",1999-01-01,28.351295,66,67.8
"Tasmania",1999-04-01,20.125435,48,68.1
"Tasmania",1999-07-01,17.292387,41,68.7
"Tasmania",1999-10-01,24.293393,56,69.1
"Tasmania",2000-01-01,30.046385,66.2,69.7
"Tasmania",2000-04-01,21.701735,49.7,70.2
"Tasmania",2000-07-01,18.05158,37.8,72.9
"Tasmania",2000-10-01,26.363916,53.6,73.1
"Tasmania",2001-01-01,33.722305,68.2,73.9
"Tasmania",2001-04-01,21.755442,45.6,74.5
"Tasmania",2001-07-01,17.925615,38.3,74.7
"Tasmania",2001-10-01,26.86208,53.3,75.4
"Tasmania",2002-01-01,32.424395,65.7,76.1
"Tasmania",2002-04-01,22.298423,47.5,76.6
"Tasmania",2002-07-01,19.276394,39.6,77.1
"Tasmania",2002-10-01,31.211383,59.2,77.6
"Tasmania",2003-01-01,37.916057,70.3,78.6
"Tasmania",2003-04-01,28.712324,51,78.6
"Tasmania",2003-07-01,24.060809,43.1,79.1
"Tasmania",2003-10-01,37.137508,61.8,79.5
"Tasmania",2004-01-01,46.026361,74.5,80.2
"Tasmania",2004-04-01,31.451553,51.5,80.6
"Tasmania",2004-07-01,25.917468,43,80.9
"Tasmania",2004-10-01,40.83466,61.9,81.5
"Tasmania",2005-01-01,48.749395,72.8,82.1
"Tasmania",2005-04-01,34.487889,52.1,82.6
"Tasmania",2005-07-01,29.881835,44.3,83.4
"Tasmania",2005-10-01,44.111712,61.6,83.8
"Tasmania",2006-01-01,53.282426,74,84.5
"Tasmania",2006-04-01,35.671778,51.1,85.9
"Tasmania",2006-07-01,30.261895,44.1,86.7
"Tasmania",2006-10-01,47.726312,61.2,86.6
"Tasmania",2007-01-01,55.236373,71.9,86.6
"Tasmania",2007-04-01,37.60625,52.4,87.7
"Tasmania",2007-07-01,34.889723,48.8,88.3
"Tasmania",2007-10-01,50.254396,64.1,89.1
"Tasmania",2008-01-01,59.952073,74.3,90.3
"Tasmania",2008-04-01,39.958007,53.7,91.6
"Tasmania",2008-07-01,35.45075,47.2,92.7
"Tasmania",2008-10-01,52.540182,64.2,92.4
"Tasmania",2009-01-01,60.951093,75.1,92.5
"Tasmania",2009-04-01,42.94415,55.1,92.9
"Tasmania",2009-07-01,37.825654,50.4,93.8
"Tasmania",2009-10-01,51.47122,63.3,94.3
"Tasmania",2010-01-01,58.717123,72.7,95.2
"Tasmania",2010-04-01,41.397494,52.9,95.8
"Tasmania",2010-07-01,39.101532,49.6,96.5
"Tasmania",2010-10-01,54.259274,62.6,96.9
"Tasmania",2011-01-01,64.020791,72.5,98.3
"Tasmania",2011-04-01,43.873722,52.9,99.2
"Tasmania",2011-07-01,36.93898,47.1,99.8
"Tasmania",2011-10-01,55.816048,63.5,99.8
"Tasmania",2012-01-01,64.50311,71.4,99.9
"Tasmania",2012-04-01,42.883665,52.2,100.4
"Tasmania",2012-07-01,37.787631,46.6,101.8
"Tasmania",2012-10-01,57.282484,61.9,102
"Tasmania",2013-01-01,66.432639,70.6,102.4
"Tasmania",2013-04-01,44.331181,52.1,102.8
"Tasmania",2013-07-01,39.437653,46.8,104
"Tasmania",2013-10-01,59.506282,63,104.8
"Tasmania",2014-01-01,70.164765,72.2,105.4
"Tasmania",2014-04-01,47.482605,51.8,105.9
"Tasmania",2014-07-01,41.395278,47.4,106.4
"Tasmania",2014-10-01,65.366674,64.7,106.6
"Tasmania",2015-01-01,78.24405,75.6,106.8
"Tasmania",2015-04-01,50.147127,53.8,107.5
"Tasmania",2015-07-01,45.719491,52.5,108
"Tasmania",2015-10-01,71.994287,69.5,108.4
"Tasmania",2016-01-01,84.515236,79.6,108.2
"Tasmania",2016-04-01,55.588922,59.5,108.6
"Victoria",1998-01-01,174.184585,62,67
"Victoria",1998-04-01,151.633076,55,67.4
"Victoria",1998-07-01,159.626821,54,67.5
"Victoria",1998-10-01,181.048944,60,67.8
"Victoria",1999-01-01,193.999857,64,67.8
"Victoria",1999-04-01,168.554089,57,68.1
"Victoria",1999-07-01,174.380744,56,68.7
"Victoria",1999-10-01,190.403885,60,69.1
"Victoria",2000-01-01,212.986004,62.3,69.7
"Victoria",2000-04-01,185.332423,57.1,70.2
"Victoria",2000-07-01,207.430135,56.2,72.9
"Victoria",2000-10-01,217.262831,59.4,73.1
"Victoria",2001-01-01,241.401099,62.1,73.9
"Victoria",2001-04-01,202.556382,55.1,74.5
"Victoria",2001-07-01,214.141447,55.5,74.7
"Victoria",2001-10-01,220.976848,58.7,75.4
"Victoria",2002-01-01,230.113325,60.6,76.1
"Victoria",2002-04-01,193.003665,53.7,76.6
"Victoria",2002-07-01,211.041028,54.9,77.1
"Victoria",2002-10-01,232.760511,59.9,77.6
"Victoria",2003-01-01,237.632895,60.7,78.6
"Victoria",2003-04-01,206.134053,53.4,78.6
"Victoria",2003-07-01,228.759923,56.7,79.1
"Victoria",2003-10-01,258.539947,61.2,79.5
"Victoria",2004-01-01,260.314635,61.6,80.2
"Victoria",2004-04-01,222.572544,56.5,80.6
"Victoria",2004-07-01,251.012873,60,80.9
"Victoria",2004-10-01,258.122577,62.1,81.5
"Victoria",2005-01-01,291.678141,66.3,82.1
"Victoria",2005-04-01,249.554159,59.4,82.6
"Victoria",2005-07-01,273.252198,60,83.4
"Victoria",2005-10-01,289.807348,63.7,83.8
"Victoria",2006-01-01,326.866722,66.4,84.5
"Victoria",2006-04-01,281.640351,61.1,85.9
"Victoria",2006-07-01,300.201344,60.9,86.7
"Victoria",2006-10-01,330.008362,66.2,86.6
"Victoria",2007-01-01,349.86849,69,86.6
"Victoria",2007-04-01,301.111689,61.6,87.7
"Victoria",2007-07-01,336.516352,63.7,88.3
"Victoria",2007-10-01,353.182617,65.8,89.1
"Victoria",2008-01-01,378.521019,67.5,90.3
"Victoria",2008-04-01,341.596327,63,91.6
"Victoria",2008-07-01,349.072077,62.7,92.7
"Victoria",2008-10-01,364.246057,65.4,92.4
"Victoria",2009-01-01,367.653578,65.5,92.5
"Victoria",2009-04-01,318.465833,59.7,92.9
"Victoria",2009-07-01,338.388301,59.1,93.8
"Victoria",2009-10-01,365.595299,64.8,94.3
"Victoria",2010-01-01,381.16363,66.2,95.2
"Victoria",2010-04-01,344.133098,60.8,95.8
"Victoria",2010-07-01,380.001303,63.3,96.5
"Victoria",2010-10-01,411.270099,67.6,96.9
"Victoria",2011-01-01,414.350548,67.4,98.3
"Victoria",2011-04-01,376.001283,63.2,99.2
"Victoria",2011-07-01,404.071312,64.2,99.8
"Victoria",2011-10-01,424.01127,67.4,99.8
"Victoria",2012-01-01,446.001514,68.4,99.9
"Victoria",2012-04-01,384.200396,62.4,100.4
"Victoria",2012-07-01,416.696595,63.5,101.8
"Victoria",2012-10-01,449.142083,67.6,102
"Victoria",2013-01-01,464.535611,69.8,102.4
"Victoria",2013-04-01,405.268187,63.4,102.8
"Victoria",2013-07-01,443.611161,65.2,104
"Victoria",2013-10-01,471.384794,68.6,104.8
"Victoria",2014-01-01,479.003436,70.3,105.4
"Victoria",2014-04-01,420.362867,64.8,105.9
"Victoria",2014-07-01,503.181339,66.1,106.4
"Victoria",2014-10-01,556.876593,70.7,106.6
"Victoria",2015-01-01,588.254703,72.1,106.8
"Victoria",2015-04-01,488.149341,66.1,107.5
"Victoria",2015-07-01,516.463122,68.7,108
"Victoria",2015-10-01,580.919446,73.5,108.4
"Victoria",2016-01-01,586.26926,73.4,108.2
"Victoria",2016-04-01,490.278377,68.5,108.6
"Western Australia",1998-01-01,82.827214,58,67
"Western Australia",1998-04-01,77.792571,54,67.4
"Western Australia",1998-07-01,88.736978,60,67.5
