Quarter,Origin,Arrivals
1997-07-01,UK,74071
1997-10-01,UK,145139
1998-01-01,UK,143115
1998-04-01,UK,82747
1998-07-01,UK,78303
1998-10-01,UK,163356
1999-01-01,UK,160239
1999-04-01,UK,81152
1999-07-01,UK,107941
1999-10-01,UK,179102
2000-01-01,UK,161953
2000-04-01,UK,105394
2000-07-01,UK,107231
2000-10-01,UK,205874
2001-01-01,UK,184901
2001-04-01,UK,107454
2001-07-01,UK,121889
2001-10-01,UK,202988
2002-01-01,UK,206655
2002-04-01,UK,95564
2002-07-01,UK,115950
2002-10-01,UK,224496
2003-01-01,UK,196276
2003-04-01,UK,107563
2003-07-01,UK,125171
2003-10-01,UK,243894
2004-01-01,UK,205423
2004-04-01,UK,111924
2004-07-01,UK,125132
2004-10-01,UK,233761
2005-01-01,UK,235242
2005-04-01,UK,105370
2005-07-01,UK,131141
2005-10-01,UK,237053
2006-01-01,UK,224933
2006-04-01,UK,116211
2006-07-01,UK,123808
2006-10-01,UK,269292
2007-01-01,UK,231686
2007-04-01,UK,108543
2007-07-01,UK,122734
2007-10-01,UK,226031
2008-01-01,UK,230109
2008-04-01,UK,107430
2008-07-01,UK,115758
2008-10-01,UK,218864
2009-01-01,UK,210109
2009-04-01,UK,113973
2009-07-01,UK,116517
2009-10-01,UK,223178
2010-01-01,UK,213568
2010-04-01,UK,99497
2010-07-01,UK,108208
2010-10-01,UK,225395
2011-01-01,UK,188560
2011-04-01,UK,110212
2011-07-01,UK,107089
2011-10-01,UK,202240
2012-01-01,UK,194640
2012-04-01,UK,92970
2012-07-01,UK,101690
1981-01-01,US,32316
1981-04-01,US,23721
1981-07-01,US,24533
1981-10-01,US,33438
1982-01-01,US,33527
1982-04-01,US,28366
1982-07-01,US,30856
1982-10-01,US,33293
1983-01-01,US,32472
1983-04-01,US,32369
1983-07-01,US,37476
1983-10-01,US,38112
1984-01-01,US,42553
1984-04-01,US,41277
1984-07-01,US,33056
1984-10-01,US,44472
1985-01-01,US,47792
1985-04-01,US,43070
1985-07-01,US,41116
1985-10-01,US,65428
1986-01-01,US,59377
1986-04-01,US,53283
1986-07-01,US,48510
1986-10-01,US,85878
1987-01-01,US,84130
1987-04-01,US,64346
1987-07-01,US,65976
1987-10-01,US,96165
1988-01-01,US,78609
1988-04-01,US,69306
1988-07-01,US,86267
1988-10-01,US,92738
1989-01-01,US,73321
1989-04-01,US,59819
1989-07-01,US,60868
1989-10-01,US,67761
1990-01-01,US,67637
1990-04-01,US,56153
1990-07-01,US,58783
1990-10-01,US,69018
1991-01-01,US,63235
1991-04-01,US,56691
1991-07-01,US,85473
1991-10-01,US,66332
1992-01-01,US,69861
1992-04-01,US,61501
1992-07-01,US,57869
1992-10-01,US,73632
1993-01-01,US,76323
1993-04-01,US,62718
1993-07-01,US,64730
1993-10-01,US,77495
1994-01-01,US,81428
1994-04-01,US,63554
1994-07-01,US,66505
1994-10-01,US,78190
1995-01-01,US,83047
1995-04-01,US,67448
1995-07-01,US,69234
1995-10-01,US,85160
1996-01-01,US,84995
1996-04-01,US,71005
1996-07-01,US,71412
1996-10-01,US,89483
1997-01-01,US,87405
1997-04-01,US,73061
1997-07-01,US,79986
1997-10-01,US,89141
1998-01-01,US,101167
1998-04-01,US,85384
1998-07-01,US,82586
1998-10-01,US,104760
1999-01-01,US,113860
1999-04-01,US,92494
1999-07-01,US,95001
1999-10-01,US,115704
2000-01-01,US,118840
2000-04-01,US,107313
2000-07-01,US,131833
2000-10-01,US,130100
2001-01-01,US,126702
2001-04-01,US,113471
2001-07-01,US,105239
2001-10-01,US,101058
2002-01-01,US,121127
2002-04-01,US,97016
2002-07-01,US,102261
2002-10-01,US,114103
2003-01-01,US,112908
2003-04-01,US,94212
2003-07-01,US,102961
2003-10-01,US,112039
2004-01-01,US,114017
2004-04-01,US,101065
2004-07-01,US,105884
2004-10-01,US,112335
2005-01-01,US,122725
2005-04-01,US,104542
2005-07-01,US,107725
2005-10-01,US,111286
2006-01-01,US,123608
2006-04-01,US,109865
2006-07-01,US,107787
2006-10-01,US,114824
2007-01-01,US,124677
2007-04-01,US,108089
2007-07-01,US,107738
2007-10-01,US,119189
2008-01-01,US,128066
2008-04-01,US,99471
2008-07-01,US,111243
2008-10-01,US,115636
2009-01-01,US,119158
2009-04-01,US,105507
2009-07-01,US,118979
2009-10-01,US,136094
2010-01-01,US,127535
2010-04-01,US,105974
2010-07-01,US,111615
2010-10-01,US,127002
2011-01-01,US,125264
2011-04-01,US,101814
2011-07-01,US,101925
2011-10-01,US,127150
2012-01-01,US,129520
2012-04-01,US,105700
2012-07-01,US,106540
