,ds,State,Gender,Legal,Indigenous,y
471,2014Q3,SA,Female,Remanded,Non-ATSI,51
472,2014Q4,SA,Female,Remanded,Non-ATSI,54
473,2015Q1,SA,Female,Remanded,Non-ATSI,43
474,2015Q2,SA,Female,Remanded,Non-ATSI,42
475,2015Q3,SA,Female,Remanded,Non-ATSI,46
476,2015Q4,SA,Female,Remanded,Non-ATSI,48
477,2016Q1,SA,Female,Remanded,Non-ATSI,51
478,2016Q2,SA,Female,Remanded,Non-ATSI,67
479,2016Q3,SA,Female,Remanded,Non-ATSI,66
480,2016Q4,SA,Female,Remanded,Non-ATSI,79
481,2005Q1,TAS,Female,Remanded,ATSI,2
482,2005Q2,TAS,Female,Remanded,ATSI,2
483,2005Q3,TAS,Female,Remanded,ATSI,3
484,2005Q4,TAS,Female,Remanded,ATSI,2
485,2006Q1,TAS,Female,Remanded,ATSI,4
486,2006Q2,TAS,Female,Remanded,ATSI,2
487,2006Q3,TAS,Female,Remanded,ATSI,3
488,2006Q4,TAS,Female,Remanded,ATSI,8
489,2007Q1,TAS,Female,Remanded,ATSI,3
490,2007Q2,TAS,Female,Remanded,ATSI,5
491,2007Q3,TAS,Female,Remanded,ATSI,2
492,2007Q4,TAS,Female,Remanded,ATSI,3
493,2008Q1,TAS,Female,Remanded,ATSI,4
494,2008Q2,TAS,Female,Remanded,ATSI,3
495,2008Q3,TAS,Female,Remanded,ATSI,1
496,2008Q4,TAS,Female,Remanded,ATSI,1
497,2009Q1,TAS,Female,Remanded,ATSI,2
